d_lat,seed,step,true_sig,true_null,emp_sig,emp_null,ref_sig,ref_null,total_true
10,42,50000,0.23672112822532654,0.27715760469436646,4.95480489730835,2.216792583465576,5.60935640335083,2.8552215099334717,0.25693936347961427
10,42,250000,1.7998631000518799,1.461224913597107,3.3986587524414062,1.4118785858154297,5.60935640335083,2.8552215099334717,1.6305438995361328
10,42,500000,2.3192145824432373,1.5248148441314697,2.951333999633789,1.277422547340393,5.60935640335083,2.8552215099334717,1.9220148086547852
10,42,1000000,2.5310616493225098,1.5850493907928467,2.6886672973632812,1.1689672470092773,5.60935640335083,2.8552215099334717,2.0580554962158204
10,42,2000000,2.6734211444854736,1.637200951576233,2.543372631072998,1.1082686185836792,5.60935640335083,2.8552215099334717,2.1553110122680663
10,42,3000000,2.793548345565796,1.688378930091858,2.4232637882232666,1.0789093971252441,5.60935640335083,2.8552215099334717,2.2409637451171873
10,42,5000000,2.7125308513641357,1.6837034225463867,2.3469936847686768,1.0426900386810303,5.60935640335083,2.8552215099334717,2.1981174468994142
10,43,50000,0.24991846084594727,0.276061475276947,5.050721645355225,2.2852232456207275,5.829235076904297,2.937488079071045,0.2629899740219116
10,43,250000,1.8715336322784424,1.5436522960662842,3.484325408935547,1.422629475593567,5.829235076904297,2.937488079071045,1.7075929641723633
10,43,500000,2.418689727783203,1.6522808074951172,3.0267269611358643,1.2712714672088623,5.829235076904297,2.937488079071045,2.03548526763916
10,43,1000000,2.706085681915283,1.682732343673706,2.782402515411377,1.1899142265319824,5.829235076904297,2.937488079071045,2.1944091796875
10,43,2000000,3.0167365074157715,1.8172591924667358,2.5711922645568848,1.1205637454986572,5.829235076904297,2.937488079071045,2.4169979095458984
10,43,3000000,2.8740649223327637,1.7442080974578857,2.4658775329589844,1.081243872642517,5.829235076904297,2.937488079071045,2.3091367721557616
10,43,5000000,2.946937084197998,1.7834434509277344,2.383108139038086,1.0483920574188232,5.829235076904297,2.937488079071045,2.365190124511719
10,44,50000,0.26180848479270935,0.27513593435287476,5.192789077758789,2.324619770050049,6.044006824493408,2.999364137649536,0.26847219467163086
10,44,250000,2.1064374446868896,1.5289676189422607,3.4216599464416504,1.4790652990341187,6.044006824493408,2.999364137649536,1.8177024841308593
10,44,500000,2.606194257736206,1.6634210348129272,3.0080323219299316,1.3308464288711548,6.044006824493408,2.999364137649536,2.134807586669922
