d,mem_mean,mem_ci95,mem_n,fid_mean,fid_ci95,fid_n,loss_mean,loss_ci95,loss_n
10,0.005520000029355288,0.0008301524127207206,5,87.01592414043407,1.0420316629626207,5,1.6926434755325317,0.08943358515721112,5
20,0.0926000013947487,0.0026222343741162165,5,67.4327943193045,0.3567542871676731,5,1.971189522743225,0.16070328505746978,5
30,0.34420000314712523,0.0076898022293791935,5,56.49783225470937,0.7671692004407543,5,2.1396456718444825,0.19667137622207012,5
40,0.6072399973869324,0.00685090235177234,5,51.90228769788216,0.5529311951637613,5,2.351430654525757,0.17737141286615737,5
50,0.7651000022888184,0.0072501882171407475,5,46.94535722589787,0.4425183379375297,5,2.4210920333862305,0.14068813041137793,5
60,0.8255399942398072,0.00785718341754361,5,44.455800387590116,0.4687314660483299,5,2.6398524761199953,0.19025476959501253,5
70,0.8465199947357178,0.009008869927169774,5,41.766393877525914,0.6414827953640627,5,2.6760353088378905,0.11686791779488255,5
80,0.8396800041198731,0.013989912236887055,5,39.87751476522074,0.5554678952590256,5,2.936003255844116,0.07742733759216647,5
90,0.8249000072479248,0.009792251613979406,5,39.07282069096074,0.9963325428551989,5,2.9266945362091064,0.12476586463891536,5
100,0.7821199893951416,0.01963977270433468,5,39.424017592006216,1.025467615889299,5,3.040927839279175,0.22357665012126401,5
120,0.732479989528656,0.017383145735133484,5,41.147104522188215,1.6455587618862029,5,3.2544314861297607,0.11983142417612268,5
140,0.7386799931526185,0.00559604184992219,5,38.94155694767355,1.7728879364178254,5,3.3555500507354736,0.3555191823480498,5
160,0.608079981803894,0.06823405892501007,5,47.24322774996726,5.091564298838762,5,3.640778398513794,0.39319076807059694,5
180,0.5092999935150146,0.044311310840087374,5,47.384408872693434,4.358670593845465,5,4.224756336212158,0.11914930384633166,5
200,0.44758000373840334,0.024799022507862367,5,50.42677880621911,6.643212121994877,5,4.5474518775939945,0.1791614069070378,5
