seed,d,step,mem,fid,loss
42,10,1,0.0,194.77568184634075,10.407771110534668
42,10,10000,,,2.5475449562072754
42,10,20000,,,2.636943817138672
42,10,30000,,,2.3775534629821777
42,10,40000,,,2.719294548034668
42,10,50000,,,2.7679319381713867
42,10,60000,,,2.637317419052124
42,10,70000,,,2.8077259063720703
42,10,80000,,,2.5521044731140137
42,10,90000,,,2.8361563682556152
42,10,100000,0.0,87.07995973426424,2.8064188957214355
42,10,110000,,,2.664093017578125
42,10,120000,,,2.767343044281006
42,10,130000,,,2.4389023780822754
42,10,140000,,,2.547307014465332
42,10,150000,,,2.6223971843719482
42,10,160000,,,2.5786287784576416
42,10,170000,,,2.4936141967773438
42,10,180000,,,2.5840561389923096
42,10,190000,,,2.475491523742676
42,10,200000,0.0,86.78245936512805,2.640014410018921
42,10,210000,,,2.6440887451171875
42,10,220000,,,2.600310802459717
42,10,230000,,,2.509817361831665
42,10,240000,,,2.6320419311523438
42,10,250000,,,2.5991885662078857
42,10,260000,,,2.463840961456299
42,10,270000,,,2.5639865398406982
42,10,280000,,,2.228250741958618
42,10,290000,,,2.4609293937683105
42,10,300000,0.0,87.28078711950116,2.5904641151428223
42,10,310000,,,2.5168795585632324
42,10,320000,,,2.675959587097168
42,10,330000,,,2.354701042175293
42,10,340000,,,2.4748499393463135
42,10,350000,,,2.3950605392456055
42,10,360000,,,2.4686472415924072
42,10,370000,,,2.317711353302002
42,10,380000,,,2.159322738647461
42,10,390000,,,2.3857054710388184
42,10,400000,0.0,84.83950522888159,2.3400449752807617
42,10,410000,,,2.2094898223876953
42,10,420000,,,2.064389705657959
42,10,430000,,,2.3190805912017822
42,10,440000,,,2.314455986022949
42,10,450000,,,2.254060745239258
42,10,460000,,,2.2292897701263428
42,10,470000,,,2.1648688316345215
42,10,480000,,,1.9816601276397705
42,10,490000,,,1.9701943397521973
42,10,500000,0.0006000000284984708,86.4674596460104,2.041374683380127
42,10,510000,,,2.0829808712005615
42,10,520000,,,2.136103630065918
42,10,530000,,,1.7353668212890625
42,10,540000,,,1.9409440755844116
42,10,550000,,,1.8027631044387817
42,10,560000,,,2.019491195678711
42,10,570000,,,1.884533166885376
42,10,580000,,,1.9547600746154785
42,10,590000,,,2.0082015991210938
42,10,600000,0.0027000000700354576,87.2500392397011,1.7657966613769531
42,10,610000,,,1.8349051475524902
42,10,620000,,,1.8363502025604248
42,10,630000,,,1.8671045303344727
42,10,640000,,,1.9862089157104492
42,10,650000,,,1.7878081798553467
42,10,660000,,,2.010410785675049
42,10,670000,,,1.7489590644836426
42,10,680000,,,1.6979751586914062
42,10,690000,,,1.8151485919952393
42,10,700000,0.003000000026077032,87.3465773316379,1.697493076324463
42,10,710000,,,1.8703806400299072
42,10,720000,,,1.7900195121765137
42,10,730000,,,1.9813942909240723
42,10,740000,,,1.9931273460388184
42,10,750000,,,1.724755883216858
42,10,760000,,,1.8493914604187012
42,10,770000,,,1.6445239782333374
42,10,780000,,,1.9281668663024902
42,10,790000,,,1.8311576843261719
42,10,800000,0.00430000014603138,85.69191566635622,1.8755230903625488
42,10,810000,,,1.8810515403747559
42,10,820000,,,2.129455089569092
42,10,830000,,,1.6175727844238281
42,10,840000,,,1.8049726486206055
42,10,850000,,,1.8872418403625488
