d_lat,C_per_dim,C_bug_per_dim,mismatch_per_dim,corrected_mean,corrected_sd,buggy_mean,buggy_minus_corrected,test_loss,n_seeds,zero_score_baseline,min_over_steps,argmin_step
5,4.8505,4.8505,0.0,0.1556,0.0,0.1473,-0.0083,0.9075,1,0.72,0.1017,140000
8,3.0536,6.4167,3.3582,0.1038,0.0,3.3662,3.2624,0.5723,1,2.5146,0.076,170000
10,2.433,7.366,4.8885,0.0735,0.0,4.9507,4.8773,0.4543,1,3.1208,0.0565,120000
15,1.6282,6.9611,5.3594,0.048,0.0,5.325,5.2769,0.3038,1,3.913,0.0394,280000
20,1.2216,4.6453,3.4174,0.048,0.0,3.4228,3.3748,0.2302,1,4.3115,0.038,225000
30,0.8142,3.7098,2.8909,0.0267,0.0,2.9071,2.8804,0.1524,1,4.7175,0.0238,250000
40,0.6004,3.0078,2.4121,0.0206,0.0,2.4522,2.4316,0.1126,1,4.9158,0.019,270000
50,0.4891,2.3373,1.8491,0.0171,0.0,1.8895,1.8724,0.0918,1,5.037,0.017,295000
100,0.2477,1.248,1.008,0.0144,0.0,1.0531,1.0387,0.0475,1,5.278,0.0143,295000
150,0.1605,0.8447,0.6909,0.0208,0.0,0.7451,0.7243,0.0329,1,5.3565,0.0194,265000
200,0.1203,0.6311,0.5199,0.0315,0.0,0.5927,0.5612,0.0275,1,5.3962,0.0315,300000
