d_lat,d_int,seed,hidden,sigma_noise,step,is_final,test_loss,train_loss,C,C_per_dim,corrected_error,corrected_error_per_dim,corrected_error_per_dim_popC,logged_score_error_BUGGY,C_bug_per_dim,mismatch_per_dim,memorization_fraction
100,5,42,256,0.5,1,0,1.0078375244140625,1.0120974731445314,303.3807373046875,3.033807373046875,252.60851157636125,2.5260851157636126,2.5395961631268937,2.6112982177734376,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,5000,0,0.7009615325927734,0.6911820220947266,303.3807373046875,3.033807373046875,83.31559673719568,0.8331559673719567,0.846667014735238,0.8767379760742188,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,10000,0,0.6932913208007813,0.6800717163085938,303.3807373046875,3.033807373046875,79.08420507962899,0.7908420507962899,0.8043530981595711,0.8404147338867187,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,15000,0,0.6864216613769532,0.6747309112548828,303.3807373046875,3.033807373046875,75.29445058984317,0.7529445058984316,0.7664555532617129,0.8141317749023438,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,20000,0,0.6810546875,0.6716324615478516,303.3807373046875,3.033807373046875,72.33367595868805,0.7233367595868805,0.7368478069501617,0.7942043304443359,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,25000,0,0.6765213775634765,0.6724460601806641,303.3807373046875,3.033807373046875,69.83280500925792,0.6983280500925793,0.7118390974558605,0.7754393768310547,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,30000,0,0.67186279296875,0.6669998931884765,303.3807373046875,3.033807373046875,67.26282434578076,0.6726282434578076,0.6861392908210888,0.7557286071777344,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,35000,0,0.6679811096191406,0.6565289306640625,303.3807373046875,3.033807373046875,65.12143334012427,0.6512143334012427,0.6647253807645239,0.737791519165039,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,40000,0,0.6628659057617188,0.6474336242675781,303.3807373046875,3.033807373046875,62.299551556932215,0.6229955155693222,0.6365065629326034,0.7129653930664063,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,45000,0,0.6572316741943359,0.6436164855957032,303.3807373046875,3.033807373046875,59.19134006322713,0.5919134006322713,0.6054244479955525,0.6853379058837891,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,50000,0,0.6483603668212891,0.6394728088378906,303.3807373046875,3.033807373046875,54.29734534339286,0.5429734534339287,0.5564845007972099,0.6413288879394531,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,55000,0,0.6347266006469726,0.6241492843627929,303.3807373046875,3.033807373046875,46.77606613811116,0.4677606613811116,0.48127170874439285,0.5724397659301758,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,60000,0,0.6281032180786132,0.6153464508056641,303.3807373046875,3.033807373046875,43.12217410687839,0.4312217410687839,0.44473278843206515,0.5405968475341797,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,65000,0,0.6235964965820312,0.6036426162719727,303.3807373046875,3.033807373046875,40.635971083968,0.40635971083968003,0.41987075820296127,0.5190977478027343,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,70000,0,0.6194623947143555,0.6072257995605469,303.3807373046875,3.033807373046875,38.355329476043096,0.383553294760431,0.3970643421237122,0.4982687759399414,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,75000,0,0.6155856704711914,0.598282585144043,303.3807373046875,3.033807373046875,36.216674238604014,0.36216674238604013,0.37567778974932137,0.4805501556396484,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,80000,0,0.6110359191894531,0.5881186676025391,303.3807373046875,3.033807373046875,33.706733165314574,0.33706733165314573,0.35057837901642697,0.45954452514648436,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,85000,0,0.6068196487426758,0.5801523971557617,303.3807373046875,3.033807373046875,31.38076198246347,0.3138076198246347,0.3273186671879159,0.4383906555175781,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,90000,0,0.603187370300293,0.5746198272705079,303.3807373046875,3.033807373046875,29.37695907377406,0.2937695907377406,0.30728063810102185,0.421734504699707,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,95000,0,0.5998284530639648,0.5621040725708008,303.3807373046875,3.033807373046875,27.52396012697909,0.2752396012697909,0.28875064863307215,0.4056163024902344,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,100000,0,0.5969735717773438,0.5744751739501953,303.3807373046875,3.033807373046875,25.949020452932075,0.25949020452932076,0.273001251892602,0.39211444854736327,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,105000,0,0.5938979339599609,0.5665734100341797,303.3807373046875,3.033807373046875,24.252297004466527,0.24252297004466528,0.2560340174079465,0.37715366363525393,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,110000,0,0.5907623672485351,0.5614566040039063,303.3807373046875,3.033807373046875,22.522512849311568,0.22522512849311568,0.23873617585639692,0.3628945159912109,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,115000,0,0.5887917709350586,0.5567922592163086,303.3807373046875,3.033807373046875,21.435402737178606,0.21435402737178605,0.2278650747350673,0.35390701293945315,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,120000,0,0.5867098999023438,0.5474884796142578,303.3807373046875,3.033807373046875,20.28690619512014,0.20286906195120138,0.21638010931448265,0.34358901977539064,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,125000,0,0.5846601867675781,0.555605125427246,303.3807373046875,3.033807373046875,19.15615005773327,0.1915615005773327,0.20507254794061397,0.33325862884521484,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,130000,0,0.5824200820922851,0.547065200805664,303.3807373046875,3.033807373046875,17.920361465167048,0.17920361465167048,0.19271466201495172,0.3250746154785156,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,135000,0,0.5814328384399414,0.5447208786010742,303.3807373046875,3.033807373046875,17.375733146184473,0.17375733146184472,0.18726837882512598,0.3193603706359863,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,140000,0,0.5800105285644531,0.541822395324707,303.3807373046875,3.033807373046875,16.59109377704749,0.16591093777047491,0.17942198513375615,0.31302940368652343,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,145000,0,0.5791461181640625,0.5365710067749023,303.3807373046875,3.033807373046875,16.114228332374182,0.1611422833237418,0.17465333068702307,0.3090006256103516,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,150000,0,0.578247184753418,0.5348427200317383,303.3807373046875,3.033807373046875,15.618317732033233,0.15618317732033232,0.1696942246836136,0.3053622055053711,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,155000,0,0.5775725936889649,0.5322067260742187,303.3807373046875,3.033807373046875,15.246169076975718,0.15246169076975719,0.16597273813303842,0.3031082916259766,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,160000,0,0.5768589019775391,0.540052375793457,303.3807373046875,3.033807373046875,14.85244994174218,0.1485244994174218,0.16203554678070303,0.29981853485107424,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,165000,0,0.5760190200805664,0.5313811111450195,303.3807373046875,3.033807373046875,14.389116027559794,0.14389116027559795,0.1574022076388792,0.29598608016967776,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,170000,0,0.5753968811035156,0.5352857971191406,303.3807373046875,3.033807373046875,14.045903382494657,0.14045903382494657,0.15397008118822783,0.2935715103149414,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,175000,0,0.5748566055297851,0.5284136199951172,303.3807373046875,3.033807373046875,13.747851957388377,0.13747851957388377,0.15098956693716503,0.2894587516784668,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,180000,0,0.5750265884399414,0.5257550811767578,303.3807373046875,3.033807373046875,13.84162567413432,0.1384162567413432,0.15192730410462446,0.2927178955078125,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,185000,0,0.5752810668945313,0.5292253494262695,303.3807373046875,3.033807373046875,13.982012672431665,0.13982012672431665,0.1533311740875979,0.2951547241210937,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,190000,0,0.5741039276123047,0.5285894393920898,303.3807373046875,3.033807373046875,13.332625475091447,0.13332625475091447,0.1468373021141957,0.2912997627258301,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,195000,0,0.5737368392944336,0.5264580535888672,303.3807373046875,3.033807373046875,13.130115493887104,0.13130115493887104,0.14481220230215228,0.2874404716491699,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,200000,0,0.5732737731933594,0.52766845703125,303.3807373046875,3.033807373046875,12.874657875489447,0.12874657875489448,0.14225762611817572,0.2870643424987793,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,205000,0,0.5734648513793945,0.5273518753051758,303.3807373046875,3.033807373046875,12.980069129345111,0.12980069129345112,0.14331173865673236,0.2883118057250977,3.178590087890625,0.14879697799682617,0.0
100,5,42,256,0.5,210000,0,0.5725858306884766,0.5229875564575195,303.3807373046875,3.033807373046875,12.495143690615748,0.12495143690615748,0.13846248426943875,0.28461519241333005,3.178590087890625,0.14879697799682617,0.0
