d_int,C_per_dim,C_bug_per_dim,mismatch_per_dim,corrected_mean,corrected_sd,buggy_mean,buggy_minus_corrected,test_loss,n_seeds,zero_score_baseline,min_over_steps,argmin_step
2,3.1639,3.4131,0.244,1.1326,0.0,1.3867,0.2541,0.7788,1,2.383,0.0563,15000
5,3.4424,3.9573,0.5086,1.7531,0.0,2.1462,0.3931,0.9418,1,2.1209,0.0973,10000
8,3.6897,4.5036,0.821,2.355,0.0,2.8839,0.5289,1.0957,1,1.8771,0.1014,15000
12,3.9955,4.7992,0.7888,3.2683,0.0,3.7453,0.477,1.3167,1,1.558,0.0996,15000
16,4.3309,4.8263,0.4843,4.4912,0.0,4.5316,0.0404,1.5992,1,1.2412,0.1279,15000
20,4.6561,4.6561,0.0,5.0892,0.0,5.0745,-0.0148,1.7665,1,0.9227,0.1071,10000
