d_lat,C_per_dim,C_bug_per_dim,mismatch_per_dim,corrected_mean,corrected_sd,buggy_mean,buggy_minus_corrected,test_loss,n_seeds,zero_score_baseline,min_over_steps,argmin_step
5,4.8505,4.8505,0.0,1.7086,0.0,1.7468,0.0382,1.189,1,0.72,0.0977,20000
8,3.0536,6.4167,3.3582,1.0945,0.0,3.7229,2.6285,0.7519,1,2.5146,0.0899,20000
10,2.433,7.366,4.8885,0.7214,0.0,4.9684,4.247,0.5718,1,3.1208,0.0607,40000
15,1.6282,6.9611,5.3594,0.2115,0.0,5.0792,4.8677,0.3335,1,3.913,0.0432,40000
20,1.2216,4.6453,3.4174,0.0949,0.0,3.2871,3.1922,0.2386,1,4.3115,0.0356,75000
30,0.8142,3.7098,2.8909,0.031,0.0,2.9115,2.8804,0.1532,1,4.7175,0.0234,160000
40,0.6004,3.0078,2.4121,0.024,0.0,2.5068,2.4828,0.1132,1,4.9158,0.0216,290000
