d,threshold,tau_obs_mean,tau_obs_sd,tau_obs_ci95,obs_n,censored_n,tau_pred,residual_steps,residual_log,theta,kappa
80.0,0.1,500000.0,0.0,0.0,5.0,0.0,580486.740241257,80486.74024125701,0.149258860493214,0.8947461515549976,2.1544346900318822e-06
80.0,0.25,900000.0,0.0,0.0,5.0,0.0,1044019.0911691413,144019.09116914135,0.14843829151155633,0.9784917515831288,2.1544346900318822e-06
80.0,0.5,1480000.0,83666.00265340756,103885.06336835696,5.0,0.0,1721830.6745042827,241830.67450428265,0.1513459826771275,0.99706630132355,2.1544346900318822e-06
80.0,0.75,2700000.0,70710.67811865476,87798.90330850845,5.0,0.0,2871271.815683155,171271.81568315485,0.06150329995613012,0.9998482012703336,2.1544346900318822e-06
90.0,0.01,200000.0,0.0,0.0,5.0,0.0,268167.59855077206,68167.59855077206,0.2932947862286703,0.6272483701348919,2.1544346900318822e-06
90.0,0.05,400000.0,0.0,0.0,5.0,0.0,437340.3652940499,37340.3652940499,0.08924721277714176,0.8175092088292494,2.1544346900318822e-06
90.0,0.1,580000.0,44721.359549995796,55528.902103955974,5.0,0.0,578157.3958865318,-1842.6041134682018,-0.0031819607156855154,0.8947461515549976,2.1544346900318822e-06
90.0,0.25,1000000.0,0.0,0.0,5.0,0.0,1037866.4460224884,37866.44602248841,0.037167111747462754,0.9784917515831288,2.1544346900318822e-06
90.0,0.5,1680000.0,44721.359549995796,55528.902103955974,5.0,0.0,1709794.1578868236,29794.15788682364,0.017579194348906813,0.99706630132355,2.1544346900318822e-06
90.0,0.75,3000000.0,70710.67811865476,87798.90330850845,5.0,0.0,2851938.0752174207,-148061.9247825793,-0.05061349910865065,0.9998482012703336,2.1544346900318822e-06
100.0,0.01,200000.0,0.0,0.0,5.0,0.0,269295.4102323661,69295.41023236612,0.29749158979849255,0.6272483701348919,2.1544346900318822e-06
100.0,0.05,400000.0,0.0,0.0,5.0,0.0,440962.48316084157,40962.48316084157,0.09749525252238124,0.8175092088292494,2.1544346900318822e-06
100.0,0.1,640000.0,54772.25575051661,68008.73806582569,5.0,0.0,584112.7993222434,-55887.20067775657,-0.09137406265206881,0.8947461515549976,2.1544346900318822e-06
100.0,0.25,1180000.0,44721.359549995796,55528.902103955974,5.0,0.0,1051293.8685726356,-128706.13142736442,-0.11549277712870465,0.9784917515831288,2.1544346900318822e-06
100.0,0.5,1880000.0,83666.00265340756,103885.06336835696,5.0,0.0,1732377.3278607111,-147622.67213928886,-0.08177713369643419,0.99706630132355,2.1544346900318822e-06
100.0,0.75,4200000.0,141421.35623730952,175597.8066170169,5.0,0.0,2882927.0807204465,-1317072.9192795535,-0.37627839980050015,0.9998482012703336,2.1544346900318822e-06
120.0,0.01,300000.0,0.0,0.0,5.0,0.0,276570.58472019655,-23429.41527980345,-0.08131640699463853,0.6272483701348919,2.1544346900318822e-06
120.0,0.05,600000.0,0.0,0.0,5.0,0.0,456769.63154104643,-143230.36845895357,-0.2727504799489059,0.8175092088292494,2.1544346900318822e-06
120.0,0.1,900000.0,70710.67811865476,87798.90330850845,5.0,0.0,606937.0553294213,-293062.9446705787,-0.39396967561641344,0.8947461515549976,2.1544346900318822e-06
120.0,0.25,1540000.0,54772.25575051661,68008.73806582569,5.0,0.0,1092387.1244194664,-447612.87558053364,-0.34341709238484885,0.9784917515831288,2.1544346900318822e-06
120.0,0.5,2480000.0,83666.00265340756,103885.06336835696,5.0,0.0,1793311.9503955739,-686688.0496044261,-0.3241943983136352,0.99706630132355,2.1544346900318822e-06
120.0,0.75,5000000.0,0.0,0.0,1.0,4.0,2977352.2875531204,-2022647.7124468796,-0.5184035009713246,0.9998482012703336,2.1544346900318822e-06
140.0,0.01,400000.0,0.0,0.0,5.0,0.0,291773.2939829497,-108226.70601705031,-0.31548743685622005,0.6272483701348919,2.1544346900318822e-06
140.0,0.05,700000.0,0.0,0.0,5.0,0.0,488349.0532244448,-211650.9467755552,-0.36004991187516283,0.8175092088292494,2.1544346900318822e-06
140.0,0.1,920000.0,44721.359549995796,55528.902103955974,5.0,0.0,653027.6691593612,-266972.33084063884,-0.3427541692916568,0.8947461515549976,2.1544346900318822e-06
140.0,0.25,1460000.0,54772.25575051661,68008.73806582569,5.0,0.0,1189328.383162181,-270671.6168378191,-0.20504767181867548,0.9784917515831288,2.1544346900318822e-06
140.0,0.5,2460000.0,114017.5425099138,141571.47769822748,5.0,0.0,1970617.1064930463,-489382.8935069537,-0.22181460422061977,0.99706630132355,2.1544346900318822e-06
140.0,0.75,4850000.0,70710.67811865476,138822.25525988993,2.0,3.0,3295501.953337576,-1554498.0466624242,-0.386420210710186,0.9998482012703336,2.1544346900318822e-06
160.0,0.01,540000.0,54772.25575051661,68008.73806582569,5.0,0.0,356750.9176858597,-183249.08231414028,-0.4145313108546906,0.6272483701348919,2.1544346900318822e-06
160.0,0.05,920000.0,83666.00265340756,103885.06336835696,5.0,0.0,614500.5531899658,-305499.4468100342,-0.4035638408096299,0.8175092088292494,2.1544346900318822e-06
160.0,0.1,1140000.0,54772.25575051661,68008.73806582569,5.0,0.0,835328.4856449052,-304671.51435509475,-0.3109584979156745,0.8947461515549976,2.1544346900318822e-06
160.0,0.25,1760000.0,134164.07864998738,166586.70631186792,5.0,0.0,1571564.9114599656,-188435.08854003437,-0.11324192723243381,0.9784917515831288,2.1544346900318822e-06
