d,selected_runs,mem_mean,mem_ci95,mem_n,fid_mean,fid_ci95,fid_n,loss_mean,loss_ci95,loss_n,score_loss_per_dim_mean,score_loss_per_dim_ci95,score_loss_per_dim_n
20,seed42/d20;seed43/d20;seed44/d20;seed45/d20;seed46/d20,0.01180000025779009,0.0012783713751680908,5,155.20226569366224,0.7130279785726915,5,2.0347335577011108,0.20146741575754612,5,0.011655776053667069,0.0003887508283003168,5
40,seed42/d40;seed43/d40;seed44/d40;seed45/d40;seed46/d40,0.07311999946832656,0.0034604346221068076,5,141.3754598013791,0.5922022643062433,5,2.3923845291137695,0.21810505612341752,5,0.010181745439767837,0.00045026412394586087,5
60,seed42/d60;seed43/d60;seed44/d60;seed45/d60;seed46/d60,0.2659000039100647,0.008145917246577355,5,117.82933965213383,0.5027605006558973,5,2.506482458114624,0.12167508703192328,5,0.009453710317611694,0.0005541969114861004,5
80,seed42/d80;seed43/d80;seed44/d80;seed45/d80;seed46/d80,0.4025799989700317,0.009919100370873509,5,108.70139041557209,1.5078333478691297,5,2.80853066444397,0.1252683669288502,5,0.010837373286485673,0.00021944204349907343,5
100,seed42/d100;seed43/d100;seed44/d100;seed45/d100;seed46/d100,0.6181399941444397,0.010808405498176155,5,103.74818837088034,3.977815945187144,5,3.074116563796997,0.08329253174791203,5,0.013469261407852174,0.0007101525637877746,5
120,seed42/d120;seed43/d120;seed44/d120;seed45/d120;seed46/d120,0.6019199967384339,0.03126754890092137,5,114.47409577272853,13.198628547678402,5,3.2991941928863526,0.1731104409387044,5,0.01607918441295624,0.0008699759522853779,5
140,seed42/d140;seed43/d140;seed44/d140;seed45/d140;seed46/d140,0.5808999896049499,0.07106043964579853,5,118.79161879088392,8.045277924620786,5,3.557773399353027,0.26318906876969556,5,0.018131252016339982,0.001965677985993754,5
160,seed42/d160;seed43/d160;seed44/d160;seed45/d160;seed46/d160,0.6004199862480164,0.07247022856855254,5,117.27951485437984,8.87583413537558,5,3.811349868774414,0.23085264417062484,5,0.018175209760665896,0.0016131595130981999,5
180,seed42/d180;seed43/d180;seed44/d180;seed45/d180;seed46/d180,0.4558399975299835,0.09408711567266945,5,136.3540388827356,20.85604229835486,5,4.181430292129517,0.1819929724011825,5,0.01891405423482259,0.002069116196746314,5
200,seed42/d200;seed43/d200;seed44/d200;seed45/d200;seed46/d200,0.3455399990081787,0.06601365082753162,5,133.1379798629262,17.102528442651447,5,4.595189762115479,0.46873381188137164,5,0.021900328397750853,0.004027896710572945,5
220,seed42/d220;seed43/d220;seed44/d220;seed45/d220;seed47/d220,0.21275999546051025,0.021111319142989325,5,187.67518678734922,16.331288646553425,5,5.240103149414063,0.3761089889423822,5,0.024459699717434967,0.003347676851526659,5
240,seed42/d240;seed43/d240;seed45/d240;seed46/d240;seed47/d240,0.18296000063419343,0.0066074710677060024,5,201.13733634307695,3.692461001076819,5,5.497279644012451,0.2863909963478276,5,0.024622073968251546,0.0014766666952451314,5
260,seed43/d260;seed47/d260;seed48/d260;seed49/d260;seed50/d260,0.12458000108599662,0.050128669496239085,5,203.5257250658436,17.725299595415485,5,5.955669593811035,0.1933012977691469,5,0.02665809117830717,0.005197224403263637,5
